ID cifog,ORGA cifog,TEXT cifog,ID palmi,ORGA palmi,TEXT palmi
33364,81297388100012,81297388100012 - SCEA_LA_VEROTHIERE,V040EIF,81297388100012,81297388100012 - SCEA_LA_VEROTHIERE
31826,34366132800017,34366132800017 - GAEC_SERIS,V040EIC,34366132800017,34366132800017 - GAEC_SERIS
29720,39306595800018,39306595800018 - EARL_TRASSOULET,V040EHQ,39306595800018,39306595800018 - EARL_TRASSOULET
32180,79281753800012,79281753800012 - SCEA_LABORDE_ROSE,V040JKX,79281753800012,79281753800012 - SCEA_LABORDE_ROSE
35129,42287684700019,42287684700019 - EARL_FERME_LABOUYRIE,V040EHO,42287684700019,42287684700019 - EARL_FERME_LABOUYRIE
34968,39532537600014,39532537600014 - EARL_DE_MARILOU,V040EGY,39532537600014,39532537600014 - EARL_DE_MARILOU
7525,48814963400021,48814963400021 - COSTEDOAT,V040JHO,48814963400021,48814963400021 - COSTEDOAT
18287,38079907200018,38079907200018 - PETROU,V064AIU,38079907200018,38079907200018 - PETROU
31034,50243285900010,50243285900010 - EARL_AMIEL,V064BPT,50243285900010,50243285900010 - EARL_AMIEL
33910,42027409400010,42027409400010 - LAGARRUE,V164AKS,42027409400010,42027409400010 - LAGARRUE
28900,39209736600018,39209736600018 - DUCOUSSO,V164APD,39209736600018,39209736600018 - DUCOUSSO
34229,44214173500039,44214173500039 - CHAZAL,V064AMQ,44214173500039,44214173500039 - CHAZAL
32572,79907607000017,79907607000017 - FOURCADE_LACROUTZ_Nicolas,V064CYV,79907607000017,79907607000017 - FOURCADE_LACROUTZ_Nicolas
34008,38453298200012,38453298200012 - EARL_LADEBAT,V064CSF,38453298200012,38453298200012 - EARL_LADEBAT
36535,39811799400010,39811799400010 - SCEA_ESBARIU,V064ATB,39811799400010,39811799400010 - SCEA_ESBARIU
33971,38381523000016,38381523000016 - EARL_FARDIEL,V064BSY,38381523000016,38381523000016 - EARL_FARDIEL
33989,31348000600011,31348000600011 - LATAPIE,V064CRZ,31348000600011,31348000600011 - LATAPIE
26726,49081378900016,49081378900016 - EARL_PALMY_LUY,V164AQY,49081378900016,49081378900016 - EARL_PALMY_LUY
33356,79320583200017,79320583200017 - BOURDA,V064COO,79320583200017,79320583200017 - BOURDA
18309,41919356000010,41919356000010 - NOUGUE,V064BBD,41919356000010,41919356000010 - NOUGUE
37116,42347115000015,42347115000015 - ROUDGE,V164AME,42347115000015,42347115000015 - ROUDGE
33438,41909695300015,41909695300015 - EARL_DU_BARRAT,V064BCL,41909695300015,41909695300015 - EARL_DU_BARRAT
33497,49450171100019,49450171100019 - EARL_DE_MATIBET,V064BCN,49450171100019,49450171100019 - EARL_DE_MATIBET
37352,50889705500010,50889705500010 - RAMOS,V064BDY,50889705500010,50889705500010 - RAMOS
31740,34432496700019,34432496700019 - PEHAU,V064CXQ,34432496700019,34432496700019 - PEHAU
33895,34848171400015,34848171400015 - EARL_SAINT_PEYRUS,V064BEZ,34848171400015,34848171400015 - EARL_SAINT_PEYRUS
33859,44333137600014,44333137600014 - EARL_DU_LAC,V064BHZ,44333137600014,44333137600014 - EARL_DU_LAC
33499,39522627700014,39522627700014 - EARL_GUILHAMOU,V064BIC,39522627700014,39522627700014 - EARL_GUILHAMOU
37039,41465990400018,41465990400018 - EARL_CLEA,V064BHY,41465990400018,41465990400018 - EARL_CLEA
33130,81965849300013,81965849300013 - SILVA_TEIXEIRA_Fernando,V065AOO,81965849300013,81965849300013 - SILVA_TEIXEIRA_Fernando
36458,49878115200018,49878115200018 - MENDES,V079CWQ,49878115200018,49878115200018 - MENDES
22270,40987885700013,40987885700013 - GAEC_DEL_CLAUS,V081CPI,40987885700013,40987885700013 - GAEC_DEL_CLAUS
11121,53427304000012,53427304000012 - SCEA_DU_GUIGNERET,V081COR,53427304000012,53427304000012 - SCEA_DU_GUIGNERET
27485,79319644500019,79319644500019 - EARL_Les_Taillades,V081CPK,79319644500019,79319644500019 - EARL_Les_Taillades
15343,41034343800017,41034343800017 - EARL_PARDON_MICHELE,V065AQY,41034343800017,41034343800017 - EARL_PARDON_MICHELE
17809,33808710900017,33808710900017 - EARL_DE_HOS,V064BGU,33808710900017,33808710900017 - EARL_DE_HOS
30520,75106237300012,75106237300012 - BARREAU,V147ADA,75106237300012,75106237300012 - BARREAU
19245,53353298200014,53353298200014 - EARL_MIOSSEC,V047BEF,53353298200014,53353298200014 - EARL_MIOSSEC
19260,40810233300015,40810233300015 - VINCENT_Claude,V047CIL,40810233300015,40810233300015 - VINCENT_Claude
24070,41785278700015,41785278700015 - DUSSANS,V032AZV,41785278700015,41785278700015 - DUSSANS
12288,79753197700016,79753197700016 - SCEA_TEIXEIRA_SANTOS_José,V032AAK,79753197700016,79753197700016 - SCEA_TEIXEIRA_SANTOS_José
21350,34762521200019,34762521200019 - EARL_DU_MOUSSON,V032GFK,34762521200019,34762521200019 - EARL_DU_MOUSSON
24800,43455323600010,43455323600010 - POMIES_David,V132ADN,43455323600010,43455323600010 - POMIES_David
12113,38363570300010,38363570300010 - GAEC_DE_TOUJERON,V032ARO,38363570300010,38363570300010 - GAEC_DE_TOUJERON
37004,44032497800012,44032497800012 - EARL_DE_GAS,V040AGP,44032497800012,44032497800012 - EARL_DE_GAS
36309,34771297800019,34771297800019 - EARL_DE_MORLANNE,V040ATR,34771297800019,34771297800019 - EARL_DE_MORLANNE
33067,35326451800013,35326451800013 - EARL_BATBYLALANNE,V040BIX,35326451800013,35326451800013 - EARL_BATBYLALANNE
29844,50119778400017,50119778400017 - GRAZIANI,V040BJO,50119778400017,50119778400017 - GRAZIANI
36886,39368000400016,39368000400016 - SCEA_du_Grand_Gourgues,V040BJN,39368000400016,39368000400016 - SCEA_du_Grand_Gourgues
26719,41827977400016,41827977400016 - EARL_DE_SENS,V140BVI,41827977400016,41827977400016 - EARL_DE_SENS
28005,42274980400015,42274980400015 - EARL_LESPLANTES,V040BJK,42274980400015,42274980400015 - EARL_LESPLANTES
31596,39129522700014,39129522700014 - EARL_VIEILLE_FONTAINE,V040BGX,39129522700014,39129522700014 - EARL_VIEILLE_FONTAINE
29185,41336502400012,41336502400012 - DUBOUT_GERARD,V040JAX,41336502400012,41336502400012 - DUBOUT_GERARD
35070,41911105900012,41911105900012 - MERVILLE,V040BHG,41911105900012,41911105900012 - MERVILLE
24312,32869057300030,32869057300030 - MORA,V040IWI,32869057300030,32869057300030 - MORA
8013,81392365300014,81392365300014 - BEYRIES,V040BFE,81392365300014,81392365300014 - BEYRIES
26141,48366457900016,48366457900016 - DUPEBE,V040IXF,48366457900016,48366457900016 - DUPEBE
33542,42022846200016,42022846200016 - EARL_DE_GALAS,V140BFQ,42022846200016,42022846200016 - EARL_DE_GALAS
