ID cifog,ORGA cifog,TEXT cifog,ID palmi,ORGA palmi,TEXT palmi
33902,40917182400017,40917182400017 - EARL_DE_TAUZIA,V040ATQ,40917182400017,40917182400017 - EARL_DE_TAUZIA
31873,34479696600010,34479696600010 - Earl_de_lHoste,V040IUC,34479696600010,34479696600010 - Earl_de_lHoste
37583,40942497500012,40942497500012 - EARL_CARRERE,V040ATS,40942497500012,40942497500012 - EARL_CARRERE
33902,40917182400017,40917182400017 - EARL_DE_TAUZIA,V040ATQ,40917182400017,40917182400017 - EARL_DE_TAUZIA
31873,34479696600010,34479696600010 - Earl_de_lHoste,V040IUC,34479696600010,34479696600010 - Earl_de_lHoste
37583,40942497500012,40942497500012 - EARL_CARRERE,V040ATS,40942497500012,40942497500012 - EARL_CARRERE
